date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:12	52283/52283	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2023:15:54%20GMT	https://login.microsoftonline.com/common/reprocess?ctx=rQIIAYWSy4vTUBTGm3YmzIjo4MrlKIIwkPamTdIHjJA2SZ9JppPWNHczZvJob5vXJHc6bf4FQboTZqm7WboSwX9gUBjElWtBcCW6cWmLG3d-i9_5Pjibw3cOcnSerj0Cf8VRG1LAdWnKcjbuH8X3bu2thg8_Eo-fKM-fvT5YvajWrogHE4yjpFYoRGGMTS8fui6ynLwV-gXPDGwUjN8SxA1BXGa3nYAaalfZhCtxLF0uVRmGARzNMJViXhHGJXVwPDNSA8u-hKAGABwYFz1dmhq6jFWBTxW_46tNcQl1kYWC5ym-XFxnDAf8QkEAKIKR9gYzVhnwGPpDRplKMzjwPHk9v2Tvqvw5nhQ3CGOUOj-zu24Y-ydRmODL3DdCjZygbTfCIHAsnN-sOQFGlolRGBzFYeTEGDnJoR5Uzfr5rF8Pe42eBPVGNwRhU0O6NDLS1lzkuAvcYFVD5_q8edoZTWKKZrSJZ7UNqyIkFb5cPVsuPV1sVfU-NTs7Gre8xUVbVGS7O5VhZWpR5inTALLbZKCKli4_LNZxAuZAX8BEiwELKc94avfKsDuepxOOxV2NR6bNzs2ThZja9fLTmWC1KxLiA5GNpGN5MXJHQlOLWtpZh32TI9fV-GFwnbuzPipA9n4Uhy7ynJst4vvWbZCr7eyQe8T9zH7m9xbxantdOil__hV8itWXH77uvLeTzPV2oc0CJmFMGS_5YhQDucpo5SnbKHUmBez1IdfqyBIW-CmYi4eVGr0iiRVJ_iAz73b__y9_AA2	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/login.microsoftonline.com/common/reprocess781b.html	(from )
17:16:13	64/64	---M-Z	200	added ('OK')	text/plain	etag:%2201cae34fd47d31:0%22	https://login.microsoftonline.com/robots.txt		(from )
17:16:13	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202018%2023:15:55%20GMT	https://login.microsoftonline.com/common/POST	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/login.microsoftonline.com/common/POST.1.delayed	(from https://login.microsoftonline.com/common/reprocess?ctx=rQIIAYWSy4vTUBTGm3YmzIjo4MrlKIIwkPamTdIHjJA2SZ9JppPWNHczZvJob5vXJHc6bf4FQboTZqm7WboSwX9gUBjElWtBcCW6cWmLG3d-i9_5Pjibw3cOcnSerj0Cf8VRG1LAdWnKcjbuH8X3bu2thg8_Eo-fKM-fvT5YvajWrogHE4yjpFYoRGGMTS8fui6ynLwV-gXPDGwUjN8SxA1BXGa3nYAaalfZhCtxLF0uVRmGARzNMJViXhHGJXVwPDNSA8u-hKAGABwYFz1dmhq6jFWBTxW_46tNcQl1kYWC5ym-XFxnDAf8QkEAKIKR9gYzVhnwGPpDRplKMzjwPHk9v2Tvqvw5nhQ3CGOUOj-zu24Y-ydRmODL3DdCjZygbTfCIHAsnN-sOQFGlolRGBzFYeTEGDnJoR5Uzfr5rF8Pe42eBPVGNwRhU0O6NDLS1lzkuAvcYFVD5_q8edoZTWKKZrSJZ7UNqyIkFb5cPVsuPV1sVfU-NTs7Gre8xUVbVGS7O5VhZWpR5inTALLbZKCKli4_LNZxAuZAX8BEiwELKc94avfKsDuepxOOxV2NR6bNzs2ThZja9fLTmWC1KxLiA5GNpGN5MXJHQlOLWtpZh32TI9fV-GFwnbuzPipA9n4Uhy7ynJst4vvWbZCr7eyQe8T9zH7m9xbxantdOil__hV8itWXH77uvLeTzPV2oc0CJmFMGS_5YhQDucpo5SnbKHUmBez1IdfqyBIW-CmYi4eVGr0iiRVJ_iAz73b__y9_AA2)
17:16:14	87660/87660	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jan%202018%2022:19:25%20GMT	https://secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/converged.login.min.css	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/converged.login.min.css	(from https://login.microsoftonline.com/common/reprocess?ctx=rQIIAYWSy4vTUBTGm3YmzIjo4MrlKIIwkPamTdIHjJA2SZ9JppPWNHczZvJob5vXJHc6bf4FQboTZqm7WboSwX9gUBjElWtBcCW6cWmLG3d-i9_5Pjibw3cOcnSerj0Cf8VRG1LAdWnKcjbuH8X3bu2thg8_Eo-fKM-fvT5YvajWrogHE4yjpFYoRGGMTS8fui6ynLwV-gXPDGwUjN8SxA1BXGa3nYAaalfZhCtxLF0uVRmGARzNMJViXhHGJXVwPDNSA8u-hKAGABwYFz1dmhq6jFWBTxW_46tNcQl1kYWC5ym-XFxnDAf8QkEAKIKR9gYzVhnwGPpDRplKMzjwPHk9v2Tvqvw5nhQ3CGOUOj-zu24Y-ydRmODL3DdCjZygbTfCIHAsnN-sOQFGlolRGBzFYeTEGDnJoR5Uzfr5rF8Pe42eBPVGNwRhU0O6NDLS1lzkuAvcYFVD5_q8edoZTWKKZrSJZ7UNqyIkFb5cPVsuPV1sVfU-NTs7Gre8xUVbVGS7O5VhZWpR5inTALLbZKCKli4_LNZxAuZAX8BEiwELKc94avfKsDuepxOOxV2NR6bNzs2ThZja9fLTmWC1KxLiA5GNpGN5MXJHQlOLWtpZh32TI9fV-GFwnbuzPipA9n4Uhy7ynJst4vvWbZCr7eyQe8T9zH7m9xbxantdOil__hV8itWXH77uvLeTzPV2oc0CJmFMGS_5YhQDucpo5SnbKHUmBez1IdfqyBIW-CmYi4eVGr0iiRVJ_iAz73b__y9_AA2)
17:16:14	334308/334308	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2011%20Jan%202018%2022:20:00%20GMT	https://secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedlogin_pcore.min.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedlogin_pcore.min.js	(from https://login.microsoftonline.com/common/reprocess?ctx=rQIIAYWSy4vTUBTGm3YmzIjo4MrlKIIwkPamTdIHjJA2SZ9JppPWNHczZvJob5vXJHc6bf4FQboTZqm7WboSwX9gUBjElWtBcCW6cWmLG3d-i9_5Pjibw3cOcnSerj0Cf8VRG1LAdWnKcjbuH8X3bu2thg8_Eo-fKM-fvT5YvajWrogHE4yjpFYoRGGMTS8fui6ynLwV-gXPDGwUjN8SxA1BXGa3nYAaalfZhCtxLF0uVRmGARzNMJViXhHGJXVwPDNSA8u-hKAGABwYFz1dmhq6jFWBTxW_46tNcQl1kYWC5ym-XFxnDAf8QkEAKIKR9gYzVhnwGPpDRplKMzjwPHk9v2Tvqvw5nhQ3CGOUOj-zu24Y-ydRmODL3DdCjZygbTfCIHAsnN-sOQFGlolRGBzFYeTEGDnJoR5Uzfr5rF8Pe42eBPVGNwRhU0O6NDLS1lzkuAvcYFVD5_q8edoZTWKKZrSJZ7UNqyIkFb5cPVsuPV1sVfU-NTs7Gre8xUVbVGS7O5VhZWpR5inTALLbZKCKli4_LNZxAuZAX8BEiwELKc94avfKsDuepxOOxV2NR6bNzs2ThZja9fLTmWC1KxLiA5GNpGN5MXJHQlOLWtpZh32TI9fV-GFwnbuzPipA9n4Uhy7ynJst4vvWbZCr7eyQe8T9zH7m9xbxantdOil__hV8itWXH77uvLeTzPV2oc0CJmFMGS_5YhQDucpo5SnbKHUmBez1IdfqyBIW-CmYi4eVGr0iiRVJ_iAz73b__y9_AA2)
17:16:15	10848/10848	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2011%20Jan%202018%2022:19:56%20GMT	https://secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedloginpaginatedstrings-en.min.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedloginpaginatedstrings-en.min.js	(from https://login.microsoftonline.com/common/reprocess?ctx=rQIIAYWSy4vTUBTGm3YmzIjo4MrlKIIwkPamTdIHjJA2SZ9JppPWNHczZvJob5vXJHc6bf4FQboTZqm7WboSwX9gUBjElWtBcCW6cWmLG3d-i9_5Pjibw3cOcnSerj0Cf8VRG1LAdWnKcjbuH8X3bu2thg8_Eo-fKM-fvT5YvajWrogHE4yjpFYoRGGMTS8fui6ynLwV-gXPDGwUjN8SxA1BXGa3nYAaalfZhCtxLF0uVRmGARzNMJViXhHGJXVwPDNSA8u-hKAGABwYFz1dmhq6jFWBTxW_46tNcQl1kYWC5ym-XFxnDAf8QkEAKIKR9gYzVhnwGPpDRplKMzjwPHk9v2Tvqvw5nhQ3CGOUOj-zu24Y-ydRmODL3DdCjZygbTfCIHAsnN-sOQFGlolRGBzFYeTEGDnJoR5Uzfr5rF8Pe42eBPVGNwRhU0O6NDLS1lzkuAvcYFVD5_q8edoZTWKKZrSJZ7UNqyIkFb5cPVsuPV1sVfU-NTs7Gre8xUVbVGS7O5VhZWpR5inTALLbZKCKli4_LNZxAuZAX8BEiwELKc94avfKsDuepxOOxV2NR6bNzs2ThZja9fLTmWC1KxLiA5GNpGN5MXJHQlOLWtpZh32TI9fV-GFwnbuzPipA9n4Uhy7ynJst4vvWbZCr7eyQe8T9zH7m9xbxantdOil__hV8itWXH77uvLeTzPV2oc0CJmFMGS_5YhQDucpo5SnbKHUmBez1IdfqyBIW-CmYi4eVGr0iiRVJ_iAz73b__y9_AA2)
17:16:16	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202018%2023:15:57%20GMT	https://login.microsoftonline.com/common/{0}.jpg	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/login.microsoftonline.com/common/{0}.5.delayed	(from https://secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedlogin_pcore.min.js)
17:16:16	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202018%2023:15:57%20GMT	https://login.microsoftonline.com/common/Trident/	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/login.microsoftonline.com/common/Trident/index.html	(from https://secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedlogin_pcore.min.js)
17:16:16	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202018%2023:15:57%20GMT	https://login.microsoftonline.com/common/Edge/	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/login.microsoftonline.com/common/Edge/index.html	(from https://secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedlogin_pcore.min.js)
17:16:16	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jan%202018%2023:15:58%20GMT	https://login.microsoftonline.com/common/{0}-small.jpg	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/MicrosoftOffice360/login.microsoftonline.com/common/{0}-small.6.delayed	(from https://secure.aadcdn.microsoftonline-p.com/ests/2.1.7114.7/content/cdnbundles/convergedlogin_pcore.min.js)
