date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:10	551/551	---M--	302	error ('Object%20Moved')	text/html		https://fds.beone.net/robots.txt		(from )
10:34:11	3316/3316	U-----	200	untouched ('OK')	text/html	etag:%22624a-cf4-562bae8291980%22	https://fds.beone.net/vpn/index.html	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/index.html	(from )
10:34:26	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2017%20Jan%202018%2013:47:08%20GMT	http://www.w3.org/1999/xhtml	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/www.w3.org/1999/xhtml.1.delayed	(from https://fds.beone.net/vpn/index.html)
10:34:42	2725/2725	---M-Z	200	added ('OK')	text/html	etag:%22aa5-53beb90aa8180;eb-4d3672e1409c0-gzip%22	http://www.w3.org/1999/xhtml/	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/www.w3.org/1999/xhtml/index.html	(from https://fds.beone.net/vpn/index.html)
10:34:42	1150/1150	U-----	200	untouched ('')	image/x-icon	etag:%226200-47e-562bae8291980%22	https://fds.beone.net/vpn/images/AccessGateway.ico	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/images/AccessGateway.ico	(from https://fds.beone.net/vpn/index.html)
10:34:42	406324/406324	U-----	200	untouched ('OK')	text/css	etag:%2260d4-121df-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/rdx.css	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/rdx.css	(from https://fds.beone.net/vpn/index.html)
10:34:42	233/233	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:10%20GMT	https://fds.beone.net/logon/themes/Default/css/custom.css	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/logon/themes/Default/css/custom.6.delayed	(from https://fds.beone.net/vpn/index.html)
10:34:43	941/941	---M-Z	200	added ('OK')	text/plain	etag:%22b5e-5473022f46e80-gzip%22	http://www.w3.org/robots.txt		(from https://fds.beone.net/vpn/index.html)
10:35:04	3359536/3359536	U-----	200	untouched ('')	application/javascript	etag:%2261b0-be31e-562bae8291980%22	https://fds.beone.net/vpn/js/rdx.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx.js	(from https://fds.beone.net/vpn/index.html)
10:35:05	2664/2664	U-----	200	untouched ('')	application/javascript	etag:%22625d-a68-562bae8291980%22	https://fds.beone.net/vpn/login.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/login.js	(from https://fds.beone.net/vpn/index.html)
10:35:06	4720/4720	U-----	200	untouched ('OK')	text/css	etag:%22cf711-1270-55ff92d6a7440%22	https://fds.beone.net/logon/fonts/citrix-fonts.css	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/logon/fonts/citrix-fonts.css	(from https://fds.beone.net/vpn/index.html)
10:35:07	33655/33655	U-----	200	untouched ('OK')	text/css	etag:%22cf703-8377-55ff92d88f8c0%22	https://fds.beone.net/logon/themes/Default/css/base.css	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/logon/themes/Default/css/base.css	(from https://fds.beone.net/vpn/index.html)
10:35:07	6062/6062	U-----	200	untouched ('')	application/javascript	etag:%22625a-17ae-562bae8291980%22	https://fds.beone.net/vpn/js/views.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/views.js	(from https://fds.beone.net/vpn/index.html)
10:35:07	3708/3708	U-----	200	untouched ('')	application/javascript	etag:%226250-e7c-562bae8291980%22	https://fds.beone.net/vpn/js/gateway_login_view.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/gateway_login_view.js	(from https://fds.beone.net/vpn/index.html)
10:35:08	24365/24365	U-----	200	untouched ('')	application/javascript	etag:%2262a4-5f2d-562bae8291980%22	https://fds.beone.net/vpn/nsshare.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/nsshare.js	(from https://fds.beone.net/vpn/index.html)
10:35:08	8384/8384	U-----	200	untouched ('')	application/javascript	etag:%22624f-20c0-562bae8291980%22	https://fds.beone.net/vpn/js/gateway_login_form_view.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/gateway_login_form_view.js	(from https://fds.beone.net/vpn/index.html)
10:35:08	22122/22122	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%226067-566a-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.eot	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:08	18699/18699	U-----	200	untouched ('')	application/javascript	etag:%2262a5-490b-562bae8291980%22	https://fds.beone.net/vpn/resources.js	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/resources.js	(from https://fds.beone.net/vpn/index.html)
10:35:09	22122/22122	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%226067-566a-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.eot?	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regulard41d.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:09	26249/26249	U-----	200	untouched ('')	text/plain	etag:%22606a-6689-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.woff	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.woff	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:09	44432/44432	U-----	200	untouched ('')	application/x-font-ttf	etag:%226069-ad90-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.ttf	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.ttf	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:09	73658/73658	U-----	200	untouched ('OK')	image/svg+xml	etag:%226068-11fba-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.svg	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_regular.svg	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:09	256/256	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:52%20GMT	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.eot	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:09	21355/21355	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%226057-536b-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.eot	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:10	21355/21355	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%226057-536b-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.eot?	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_boldd41d.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:10	256/256	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:52%20GMT	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.eot?	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_lightd41d.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:10	25487/25487	U-----	200	untouched ('')	text/plain	etag:%22605a-638f-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.woff	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.woff	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:10	43804/43804	U-----	200	untouched ('')	application/x-font-ttf	etag:%226059-ab1c-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.ttf	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.ttf	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:11	73744/73744	U-----	200	untouched ('OK')	image/svg+xml	etag:%226058-12010-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.svg	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bold.svg	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:11	257/257	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:53%20GMT	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.woff	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.woff	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:11	22498/22498	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22605b-57e2-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.eot	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:11	22498/22498	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22605b-57e2-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.eot?	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalicd41d.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:11	26812/26812	U-----	200	untouched ('')	text/plain	etag:%22605e-68bc-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.woff	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.woff	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:11	256/256	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:53%20GMT	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.ttf	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.ttf	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:11	45424/45424	U-----	200	untouched ('')	application/x-font-ttf	etag:%22605d-b170-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.ttf	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.ttf	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:12	78037/78037	U-----	200	untouched ('OK')	image/svg+xml	etag:%22605c-130d5-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.svg	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_bolditalic.svg	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:12	256/256	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:54%20GMT	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.svg	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_light.svg	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:12	22891/22891	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22605f-596b-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.eot	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:12	22891/22891	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22605f-596b-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.eot?	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italicd41d.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:13	27166/27166	U-----	200	untouched ('')	text/plain	etag:%226062-6a1e-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.woff	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.woff	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:13	265/265	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:55%20GMT	https://fds.beone.net/vpn/js/rdx/core/css/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:13	45152/45152	U-----	200	untouched ('')	application/x-font-ttf	etag:%226061-b060-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.ttf	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.ttf	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:13	78026/78026	U-----	200	untouched ('OK')	image/svg+xml	etag:%226060-130ca-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.svg	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_italic.svg	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:13	22338/22338	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%226063-5742-562bae8291980%22	https://fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_lightitalic.eot	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/fonts/citrix_sans/citrixsans_lightitalic.eot	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
10:35:13	256/256	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jan%202018%2016:34:55%20GMT	https://fds.beone.net/vpn/js/rdx/core/css/images/ui-bg_glass_75_dadada_1x400.png	C:/xampp/htdocs/SocEng_v2.1/soceng_v2/templates/netscaler/fds.beone.net/vpn/js/rdx/core/css/images/ui-bg_glass_75_dadada_1x400.png	(from https://fds.beone.net/vpn/js/rdx/core/css/rdx.css)
